tutor_id,first_name,last_name,email,phone_number,subject_taught,years_experience,cost
23,Rivy,Guiet,rguietm@alexa.com,842-223-8640,English,8,"€31,11"
24,Martina,Benoix,mbenoixn@yellowbook.com,610-178-2874,Math,4,"€33,44"
25,Jilli,MacKean,jmackeano@blogtalkradio.com,832-139-5763,Math,3,"€23,31"
26,Berkeley,Prest,bprestp@ox.ac.uk,993-635-1519,History,18,"€19,36"
27,Dacy,Drivers,ddriversq@hatena.ne.jp,298-596-2557,Music,4,"€12,65"
28,Joletta,McCray,jmccrayr@yolasite.com,148-178-3399,Music,23,"€27,83"
29,Danni,Fincke,dfinckes@epa.gov,577-905-3034,English,30,"€14,21"
30,Pen,Schouthede,pschouthedet@earthlink.net,956-581-9515,Physics,18,"€16,14"
31,Dukey,Steade,dsteadeu@twitter.com,524-165-3040,Physics,1,"€13,54"
32,Evania,Ostick,eostickv@thetimes.co.uk,377-733-8407,Physics,9,"€33,32"
33,Sascha,Phelip,sphelipw@reference.com,360-127-6027,Geography,5,"€28,45"
34,Emmalee,Suffield,esuffieldx@livejournal.com,118-186-4949,Chemistry,3,"€29,48"
35,Karissa,Furzer,kfurzery@aboutads.info,709-590-3265,Math,24,"€36,49"
36,Ulberto,Charlo,ucharloz@vk.com,182-692-1513,Math,1,"€18,61"
37,Albina,Peres,aperes10@chicagotribune.com,812-462-6185,Geography,27,"€17,46"
38,Kaleena,Carletti,kcarletti11@examiner.com,910-487-3184,Music,5,"€39,65"
39,Chen,Sheilds,csheilds12@elegantthemes.com,494-690-2871,English,20,"€34,12"
40,Had,Sussams,hsussams13@icio.us,914-305-3201,Math,20,"€23,81"
41,Holden,Clover,hclover14@sun.com,316-124-1554,Chemistry,7,"€17,34"
42,Vicki,Khristyukhin,vkhristyukhin15@si.edu,503-814-0417,Physics,18,"€37,40"
43,Waverly,Maffeo,wmaffeo16@mysql.com,341-989-6283,Physics,9,"€20,24"
44,Lisetta,Gerrelts,lgerrelts17@oaic.gov.au,455-403-6975,Geography,27,"€38,97"
45,Gillie,Pattesall,gpattesall18@si.edu,859-501-2965,Music,21,"€30,86"
46,Jacquenetta,Pea,jpea19@china.com.cn,448-408-0908,Music,20,"€12,16"
47,Rivy,Lesor,rlesor1a@bravesites.com,501-585-3300,Chemistry,24,"€22,64"
48,Armin,Kings,akings1b@squarespace.com,186-105-1514,Geography,10,"€38,14"
49,Milt,Nicely,mnicely1c@cbc.ca,619-501-8786,English,5,"€29,18"
50,Sibyl,Glynn,sglynn1d@microsoft.com,490-632-5395,English,8,"€10,61"
51,Nelson,Woofendell,nwoofendell1e@godaddy.com,959-582-9658,Geography,27,"€28,55"
52,Hattie,Folcarelli,hfolcarelli1f@wunderground.com,390-670-8820,Biology,12,"€31,11"
53,Trey,Salasar,tsalasar1g@1688.com,433-507-1622,Math,7,"€20,56"
54,Annadiana,Semrad,asemrad1h@weibo.com,923-959-3512,Math,2,"€11,07"
55,Maximo,Margaret,mmargaret1i@scientificamerican.com,146-759-5915,Geography,24,"€37,89"
56,Gerrilee,Aikenhead,gaikenhead1j@psu.edu,823-535-1998,Chemistry,22,"€24,29"
57,Burlie,Folbigg,bfolbigg1k@google.ru,268-557-2678,English,11,"€13,89"
58,Elizabet,Zmitrovich,ezmitrovich1l@google.nl,391-188-0463,Chemistry,12,"€31,64"
59,Baldwin,Firman,bfirman1m@shinystat.com,938-394-1839,Physics,6,"€18,10"
60,Kass,Entwhistle,kentwhistle1n@dedecms.com,837-355-5243,English,26,"€14,35"
61,Allx,Fyrth,afyrth1o@sciencedirect.com,687-184-2366,Chemistry,3,"€39,96"
62,Lenci,Bute,lbute1p@go.com,220-540-2548,Chemistry,17,"€15,64"
63,Eleni,Gai,egai1q@dropbox.com,445-819-8476,History,21,"€22,55"
64,Malvin,Collens,mcollens1r@ning.com,330-145-9572,Geography,7,"€34,85"
65,Elna,Cansdale,ecansdale1s@squarespace.com,154-762-6609,Biology,12,"€28,04"
66,Jasmine,Belsham,jbelsham1t@cisco.com,511-872-0942,English,5,"€24,40"
67,Belva,Cargill,bcargill1u@chicagotribune.com,314-761-8559,Geography,15,"€18,45"
68,Vittoria,Troman,vtroman1v@quantcast.com,733-965-6477,English,16,"€31,64"
69,Jade,Giacopini,jgiacopini1w@disqus.com,305-926-6417,History,30,"€20,48"
70,Karalee,Todman,ktodman1x@techcrunch.com,306-821-3952,History,22,"€11,37"
71,Ragnar,Fleming,rfleming1y@histats.com,769-556-4116,English,15,"€10,94"
72,Monty,Grolmann,mgrolmann1z@qq.com,633-701-1470,History,1,"€28,47"
73,Celina,Murrish,cmurrish20@mashable.com,124-843-9476,Geography,23,"€19,14"
74,Jeana,Janusik,jjanusik21@wix.com,869-279-5208,Math,8,"€35,65"
75,Dulcie,Ferretti,dferretti22@fema.gov,478-953-6113,Chemistry,13,"€11,75"
76,Lawrence,Bromby,lbromby23@lycos.com,956-605-3203,English,6,"€16,04"
77,Erminia,Shuttle,eshuttle24@ehow.com,373-560-1496,Geography,24,"€10,95"
78,Bary,Lochrie,blochrie25@woothemes.com,418-565-7630,History,3,"€13,70"
79,Correy,Ricards,cricards26@prweb.com,152-203-3134,Physics,9,"€37,96"
80,Becky,MacAscaidh,bmacascaidh27@apple.com,189-145-2920,Biology,8,"€27,31"
81,Zenia,Gaitley,zgaitley28@disqus.com,711-678-3459,Chemistry,12,"€17,12"
82,Theresa,McKevany,tmckevany29@deliciousdays.com,333-560-9206,Physics,12,"€33,61"
83,Augustine,Thompsett,athompsett2a@ocn.ne.jp,260-820-0616,Biology,13,"€21,29"
84,Ileane,Spreadbury,ispreadbury2b@nbcnews.com,562-924-8297,Chemistry,15,"€19,74"
85,Renata,Piel,rpiel2c@ustream.tv,756-112-3100,History,9,"€19,79"
86,Clarke,Mouan,cmouan2d@sfgate.com,846-559-5888,Biology,14,"€29,01"
87,Karalynn,Center,kcenter2e@photobucket.com,323-549-2451,Biology,1,"€12,87"
88,Suzi,Dominick,sdominick2f@deliciousdays.com,313-209-9385,Physics,12,"€23,30"
89,Ichabod,Fursland,ifursland2g@4shared.com,870-906-0116,Geography,5,"€33,16"
90,Rainer,Danilishin,rdanilishin2h@bandcamp.com,765-168-8229,Music,30,"€14,68"
91,Genia,Ord,gord2i@barnesandnoble.com,464-271-5072,Chemistry,5,"€26,71"
92,Maxine,Sammars,msammars2j@tiny.cc,906-871-8660,Math,8,"€36,57"
93,Yelena,Cassie,ycassie2k@dagondesign.com,542-681-2462,English,16,"€13,31"
94,Stephan,Pomphrey,spomphrey2l@arstechnica.com,258-216-6103,Music,9,"€10,86"
95,Tierney,Rippingale,trippingale2m@purevolume.com,490-471-9301,History,16,"€39,38"
96,D'arcy,Cuningham,dcuningham2n@virginia.edu,316-202-7333,Math,12,"€19,35"
97,Wally,Pomphrey,wpomphrey2o@washington.edu,299-568-7390,Physics,19,"€34,83"
98,Betteann,Saltsberg,bsaltsberg2p@kickstarter.com,692-406-1199,English,5,"€28,14"
99,Bevan,Turbefield,bturbefield2q@irs.gov,591-889-0248,History,2,"€31,68"
100,Elia,Tearney,etearney2r@nytimes.com,144-400-8861,Geography,19,"€21,82"
